
このままゲームを始める。	We're going to start the game.
何番にコピーしますか？	What number would you like to copy?
（上下に動かし番号を変えます）	(I'll move it up and down and change the number.)
消してもよろしいですか？	May I turn it off?
Ｙｅｓ	Yes. Yes.
メモリーベース１２８に書き込むことが出来ません。	You can't write on memory base 128.
メモリーベース１２８のファイルを読むことが出来ません。	I can't read the memory base 128 file.
内蔵ラムに書き込むことが出来ません。	I can't write it in my internal ram.
このファイルは実行出来ません。	This file cannot be executed.
ぽっぷるメイルのファイルでないとコピー出来ません。	You can't copy it unless it's a pop-up mail file.
タイトルに戻ります。	Back to the title.
よろしいですか？	Is that all right?
Ｙｅｓ	Yes. Yes.
バックアップラムが初期化されていません。	The backup ram has not been reset.
初期化しますか？	Initialize?
Ｙｅｓ	Yes. Yes.
ゲームをセーブ出来ません。	I can't save the game.
メモリーベース１２８	Memory base 128
の接続に異常があります。	There's something wrong with the connection.
メモリーベース１２８	Memory base 128
が初期化されていません。	It hasn't been reset.
初期化しますか？	Initialize?
Ｙｅｓ	Yes. Yes.
初期化しました。	Initializing.
メモリーベース１２８	Memory base 128
は接続されていません。	Isn't connected.
メモリーベース１２８	Memory base 128
は使用しません。	I won't use it.
メモリーベース１２８	Memory base 128
は使用出来ません。	Can't use .
バックアップのタイプを選んで	Select a backup type.
下さい。	Give it to me.
１ボタンを押すとコマンド選択	Press 1 to select Command
２ボタンを押すとタイトルに戻ります。	Press 2 to return to the title.
コマンドを選んで下さい。	Select the command.
ファイルを選んで下さい。	Please select the file.
セレクトボタンで次のページにする事が出来ます。	You can select the next page by pressing the select button.
現在セーブ出来るファイル数は	The number of files we can save right now
個です。（セーブは内蔵のバックアップラムに行われます。）	It's an individual. (Save will be carried out in the backup ram inside.)
ユ中｡	Yuchuu.
「ぽっぷるメイル」のファイルではありません。	It's not a 'popular mail' file.
「ジャングル　	「Jungle.
「古代の洞窟　	「Ancient caves.
「鉱山　	「Mining
「幻影世界　	「A phantom world.
「海底世界　	「The undersea world
「機械世界　	「The mechanical world.
「氷山　	「Hiyama.
「アルカザール城　	「Alcazar Castle
エルフの森	Elven Forest
大樹木の塔	Tower of Great Trees
ゴーレムの塔	Golem Tower
風穴の入口	Windhole entrance
化石の洞窟	Fossil Cave
地下泉洞	Jigesendou
怪獣の巣	Kaiju no Nest
ゴルアデス	Goluades
古代神殿	Ancient Temple
ツェイマー	Zeimer
偽りの荒野	False wasteland
偽りの塔	Fake Tower
幻影城	Illusion Castle
船の墓場	Funa no Hakaba
海底神殿	Ocean Floor Temple
海底宮殿	Beneath the Sea
異次元の街	Another dimension of the city
組み立て工場	Assembly plant
次元要塞	Dimensional Fortress
リップの山	Lipped Mountain
ラップの船	Ship of rap.
水晶神殿	Crystal Temple
正面城壁	Front wall
宝物庫	Treasure Trove
地下迷宮	Underground labyrinth
封玉宮	Futamamiya
ガイストレイス	Geistrace
メイル	Meiru
タット	Tat
　　　　　　　　　　　　ゴールド	Gold
ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。	Shortsword A lightweight, easy-to-manage sword. However, its lethality is low.
ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。	Longsword A longsword about a meter long. A necessity in a cave full of monsters.
ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。	Falsion A large sword made of steel. Its attack power is quite impressive.
フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付	Flame Sword: A sword made from flame, its ease of use and lethality guaranteed.
ライトセイバー　現存する剣の中で最強を誇る剣。	Light Saber: The strongest sword in existence.
ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。	Fire Magic You can continuously fire in the direction you're going. It's effective in any location.
ファイア　ＤＸ　ファイアの魔法が３つに分裂する。	Fire DX Fire magic splits into three parts.
サンダーの魔法　雷の槍が敵を　　貫通	Thunder's magic, Lightning Spear, pierces the enemy.
ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。	Homing Up to 6 bullets chase after the enemy. However, there are some enemies that won't work.
フォース　　　　自らの魔力を弾にして敵に放つ。	Force: Uses its own magical energy as a bullet to fire at the enemy.
ファイアボール　体内にためた炎を吹き出す。	Fireball: It blows out the flames that have built up inside its body.
テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。	Tail Attack: Uses a powerful spin and tail to deal massive damage to opponents.
アックス　　　　敵を一刀両断に　切り裂く強力な　武器。	Ax: A powerful weapon that can cut an enemy in half with a single slash.
アイアンクロー　鋭い爪で敵を切り刻む。	Iron Claw: Slice enemies with sharp claws.
ファイアブレス　体内にためた力を一気に放つ。　　威力絶大	Firebreath: unleashes all the power it has stored inside its body at once. It's extremely powerful.
レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。	Leather Armor: Several layers of horse leather. Its defense is low.
チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。	Chain mail. It's made of chains, and it's made to be durable.
プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える	Plate mail. It's heavy because it's made of steel, but it can fight well enough with a few attacks.
ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。	Mithril armor required this much armor to fight many enemies.
ゴールドアーマー現代の技術では最高の強度を持つ鎧である。	Gold Armor is the strongest armor in modern technology.
レッドローブ　　魔法使いのマント	Red robe, wizard's cape.
イエローローブ　魔法使いのマント	Yellow Robe: Wizard's Cloak
シルバーローブ　魔法使いのマント	Silver Robe: Wizard's Cloak
ゴールドローブ　魔法使いのマント	Goldrobe: Wizard's Cloak
ウッドシールド　木製なので軽くて動きやすいが防御能力は低い。	Woodshield It's made of wood, so it's light and easy to move around in, but it has low defense.
スモールシールドウッドシー	Small Shield Woodsea
ルドより少し小さいがなかなか丈夫である	It's a little smaller than Lud's, but it's pretty tough.
ラージシールド　スモールシールドと同じ材質の少し大きめの盾。	Large Shield A slightly larger shield made of the same Muttonhead as Small Shield.
ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている	Mithril Shield, this shield has plenty of effect to defend against enemy attacks
ゴールドシールドこの盾は最強の盾といえるだろう。	Gold Shield, this shield could be said to be the strongest.
ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。	Bronze Mirror: Uses magic to repel enemy attacks.
メタルミラー　　魔法の力で敵の攻撃を跳ね返す。	Metal Mirror: Bouncing off enemy attacks with the power of magic.
プラチナミラー　魔法の力で敵の攻撃を跳ね返す。	Platinum Mirror: Bouncing off enemy attacks with the power of magic.
ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。	Mithril Mirror: Bouncing off enemy attacks with the power of magic.
ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。	Gold Mirror: Bouncing off enemy attacks with the power of magic.
無敵　　　　　　一定時間無敵！！	Invincible. Invincible for a set amount of time!!
ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。	Helmet Can block attacks from above for a certain amount of time.
スパイクブーツ　氷の上でも滑らない。	Spike boots. They don't slip on ice.
石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる	Stone shoes You can walk on thorns without a care in the world. However, your jumping power will decrease.
ツルハシ　　　　	Black pickaxe
ダガー　　　　　投げナイフ。	Dagger, throwing knife.
ブーメラン　　　回転しながら手元にもどってくる、武器。	Boomerang The weapon spins as it comes back to me.
オレンジ　　　　体力が２０回復する。	Orange Restores 20 HP.
チェリー　　　　体力が５０回復する。	Cherry restores 50 HP.
リンゴ　　　　　体力が完全回復する。	Ringo, your stamina is fully restored.
金塊　　　　　　	Gold nugget
エリクサー　　　復活剤。	Elixir. Resurrection.
ブーメランＤＸ　ブーメランのパワーアップ型。	Boomerang DX: Boomerang power-up type.
プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー	Plasma Blade P Water Beam P Rock Crash@Iron Armor.
プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド	Plasma Armor P Aqua Robe P Battle Armor @Iron Shield
プラズマシールドPウォーターミラーPバトルシールド　煬ｶ影の腕輪　　　	Plasma Shield P Water Mirror P Battle Shield Yokakage’s Bracelet
どれをお求めに　なりますか？	Which one would you like?
　でよろしい　　　　　　ですか？	Is that all right with you?
　ＹＥＳ	YES
あなたはそのアイテムをこれ以上持てません。	You can't carry that item any longer.
お金が足りません	We don't have enough money.
ありがとうございました。	Thank you very much.
何を売っていただけますか？	What will you sell me?
になります。　　	It will be.
　ＹＥＳ	YES
これ以上　売れるものがありません	There's nothing more we can sell.
治療に　　　　　ゴールド必要です治療しますか？　	We need gold to treat it. Do you want gold to treat it?
　ＹＥＳ	YES
どこにも異常は　ないようです。	There's nothing out of the ordinary here.
お大事に‥‥。	Take care...
メイル	Meiru
タット	Tat
ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。	Shortsword A lightweight, easy-to-manage sword. However, its lethality is low.
ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。	Longsword A longsword about a meter long. A necessity in a cave full of monsters.
ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。	Falsion A large sword made of steel. Its attack power is quite impressive.
フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付	Flame Sword: A sword made from flame, its ease of use and lethality guaranteed.
ライトセイバー　現存する剣の中で最強を誇る剣。	Light Saber: The strongest sword in existence.
ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。	Fire Magic You can continuously fire in the direction you're going. It's effective in any location.
ファイア　ＤＸ　ファイアの魔法が３つに分裂する。	Fire DX Fire magic splits into three parts.
サンダーの魔法　雷の槍が敵を　　貫通	Thunder's magic, Lightning Spear, pierces the enemy.
ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。	Homing Up to 6 bullets chase after the enemy. However, there are some enemies that won't work.
フォース　　　　自らの魔力を弾にして敵に放つ。	Force: Uses its own magical energy as a bullet to fire at the enemy.
ファイアボール　体内にためた炎を吹き出す。	Fireball: It blows out the flames that have built up inside its body.
テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。	Tail Attack: Uses a powerful spin and tail to deal massive damage to opponents.
アックス　　　　敵を一刀両断に　切り裂く強力な　武器。	Ax: A powerful weapon that can cut an enemy in half with a single slash.
